class,itstate,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
0,1,closed,840.0,840.0,0.5062103271484375,0.5961456298828125,0.7820732109848179,18
0,1,closed,841.0,841.0,0.56060791015625,0.612518310546875,0.8303372264838883,18
0,1,closed,842.0,842.0,0.613616943359375,0.6129150390625,0.8672892241269278,15
0,1,closed,843.0,843.0,0.561370849609375,0.6124725341796875,0.8308187744121097,18
0,1,closed,844.0,844.0,0.5634613037109375,0.5899658203125,0.8158114426242319,22
0,1,closed,845.0,845.0,0.520355224609375,0.608978271484375,0.8010144161738728,18
0,1,closed,846.0,846.0,0.58099365234375,0.599517822265625,0.8348504316809375,19
0,1,closed,847.0,847.0,0.592193603515625,0.609619140625,0.8498992650080271,21
0,1,closed,848.0,848.0,0.5897216796875,0.60888671875,0.8476524616631441,20
0,1,closed,849.0,849.0,0.58758544921875,0.608062744140625,0.8455749292318377,19
0,2,closed,705.0,705.0,0.3382720947265625,0.4086456298828125,0.5304896425878803,2
0,2,closed,706.0,706.0,0.3422393798828125,0.3848876953125,0.5150401257625855,2
0,2,closed,707.0,707.0,0.3419036865234375,0.3898162841796875,0.5185121659806796,2
0,2,closed,708.0,708.0,0.3415985107421875,0.39434814453125,0.5217278999981887,2
0,2,closed,709.0,709.0,0.33966064453125,0.3987884521484375,0.5238335451365546,4
0,2,closed,710.0,710.0,0.34222412109375,0.4039306640625,0.529412249979505,3
0,2,closed,711.0,711.0,0.340789794921875,0.408111572265625,0.5316885740167961,4
0,2,closed,712.0,712.0,0.344818115234375,0.412872314453125,0.5379247908729127,3
0,2,closed,713.0,713.0,0.338775634765625,0.41668701171875,0.537026066821671,3
0,2,closed,714.0,714.0,0.345428466796875,0.422210693359375,0.5455114070857217,3
0,2,closed,715.0,715.0,0.342681884765625,0.4265289306640625,0.5471360003143183,4
0,2,closed,716.0,716.0,0.3433685302734375,0.43109130859375,0.5511276294355169,4
0,2,closed,717.0,717.0,0.342529296875,0.4532623291015625,0.5681311980522237,2
0,2,closed,718.0,718.0,0.341552734375,0.440093994140625,0.5570825738054349,3
0,2,closed,719.0,719.0,0.3424072265625,0.44439697265625,0.5610092495746064,3
0,2,closed,720.0,720.0,0.343536376953125,0.4488525390625,0.5652307883625348,3
0,2,closed,721.0,721.0,0.356658935546875,0.479034423828125,0.5972265696683074,2
0,2,closed,722.0,722.0,0.345550537109375,0.45794677734375,0.573690181697494,3
0,2,closed,723.0,723.0,0.35333251953125,0.462493896484375,0.5820175887751168,3
0,2,closed,724.0,724.0,0.348419189453125,0.466827392578125,0.5825150178668902,5
0,2,closed,725.0,725.0,0.353271484375,0.4715118408203125,0.589172434611698,4
0,2,closed,726.0,726.0,0.345916748046875,0.46783447265625,0.5818311528140073,4
0,2,closed,727.0,727.0,0.356536865234375,0.4794158935546875,0.5974597352658958,4
0,2,closed,728.0,728.0,0.3582000732421875,0.483428955078125,0.601673372419485,2
0,2,closed,729.0,729.0,0.356201171875,0.487060546875,0.6034130021530009,5
0,2,closed,730.0,730.0,0.3468017578125,0.4774169921875,0.5900834209255496,5
0,2,closed,731.0,731.0,0.3579864501953125,0.4882659912109375,0.6054403163786173,4
0,2,closed,732.0,732.0,0.36181640625,0.486083984375,0.6059610149981105,7
0,2,closed,733.0,733.0,0.36419677734375,0.457733154296875,0.5849435298985192,6
0,2,closed,734.0,734.0,0.363739013671875,0.49481201171875,0.6141213210825243,7
0,2,closed,735.0,735.0,0.362548828125,0.422027587890625,0.5563712229398552,7
0,2,closed,736.0,736.0,0.3612060546875,0.46490478515625,0.5887327689232936,6
0,2,closed,737.0,737.0,0.364410400390625,0.50738525390625,0.6246877106157647,7
