class,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
2,closed,826.0,826.0,0.470123291015625,0.67413330078125,0.8218708024851505,165
2,closed,827.0,827.0,0.471099853515625,0.67425537109375,0.822529864157657,206
2,closed,828.0,828.0,0.46673583984375,0.6790771484375,0.8240073529554558,219
2,closed,829.0,829.0,0.473876953125,0.6795806884765625,0.8284861367900564,216
2,closed,830.0,830.0,0.4765625,0.68218994140625,0.8321628041207518,226
2,closed,831.0,831.0,0.470916748046875,0.679290771484375,0.8265582470793461,253
2,closed,832.0,832.0,0.481109619140625,0.6866607666015625,0.8384327486563742,252
2,closed,833.0,833.0,0.487518310546875,0.68927001953125,0.8442554488678702,247
2,closed,834.0,834.0,0.48480224609375,0.6821746826171875,0.8368963588290999,250
2,closed,835.0,835.0,0.48443603515625,0.683197021484375,0.8375180250735079,263
2,closed,836.0,836.0,0.490966796875,0.681976318359375,0.8403214232879613,260
2,closed,837.0,837.0,0.493804931640625,0.6827392578125,0.8426008572693038,237
2,closed,838.0,838.0,0.49285888671875,0.6906585693359375,0.8484804898256705,232
2,closed,839.0,839.0,0.496856689453125,0.689727783203125,0.8500535187719748,239
2,closed,840.0,840.0,0.497802734375,0.691986083984375,0.852439031707991,251
2,closed,841.0,841.0,0.50384521484375,0.692138671875,0.8561050996377918,275
2,closed,842.0,842.0,0.504730224609375,0.6917724609375,0.856330390296733,296
2,closed,843.0,843.0,0.497955322265625,0.69354248046875,0.8537919390503806,291
2,closed,844.0,844.0,0.4834442138671875,0.6967315673828125,0.8480290000403132,268
2,closed,845.0,845.0,0.496307373046875,0.69775390625,0.8562601954008044,291
2,closed,846.0,846.0,0.506591796875,0.693695068359375,0.8589808475904217,309
2,closed,847.0,847.0,0.499969482421875,0.69586181640625,0.8568507168027597,318
2,closed,848.0,848.0,0.4514617919921875,0.6923065185546875,0.8265023080803278,346
2,closed,849.0,849.0,0.4937591552734375,0.6935882568359375,0.8513887322704318,330
3,closed,703.0,703.0,0.247955322265625,0.5418701171875,0.595906927078923,25
3,closed,704.0,704.0,0.2701873779296875,0.4760284423828125,0.5473612126831116,28
3,closed,705.0,705.0,0.27508544921875,0.550048828125,0.6150005834904283,25
3,closed,706.0,706.0,0.2774658203125,0.424530029296875,0.5071617367433136,27
3,closed,707.0,707.0,0.2619781494140625,0.429779052734375,0.5033314861397741,26
3,closed,708.0,708.0,0.267578125,0.4454345703125,0.5196248737387358,28
3,closed,709.0,709.0,0.292022705078125,0.54913330078125,0.6219522829832337,13
3,closed,710.0,710.0,0.2796630859375,0.5613250732421875,0.6271341798103758,14
3,closed,711.0,711.0,0.29083251953125,0.579345703125,0.6482476364371069,12
3,closed,712.0,712.0,0.3050537109375,0.454986572265625,0.5477869544802638,15
